,rf_over,year,proj_site
5,1536.0,2021.0,proj_7_10
0,599.0,2017.0,proj_7_12
1,263.0,2018.0,proj_7_12
2,352.0,2019.0,proj_7_12
3,7813.0,2020.0,proj_7_12
4,1685.0,2021.0,proj_7_12
0,951.0,2016.0,proj_7_13
1,489.0,2017.0,proj_7_13
2,611.0,2019.0,proj_7_13
3,471.0,2020.0,proj_7_13
4,3477.0,2021.0,proj_7_13
0,752.0,2016.0,proj_7_14
1,535.0,2017.0,proj_7_14
2,605.0,2018.0,proj_7_14
3,574.0,2019.0,proj_7_14
4,767.0,2020.0,proj_7_14
5,1796.0,2021.0,proj_7_14
0,301.0,2016.0,proj_7_15
1,349.0,2017.0,proj_7_15
2,248.0,2018.0,proj_7_15
3,212.0,2019.0,proj_7_15
4,6536.0,2020.0,proj_7_15
5,1505.0,2021.0,proj_7_15
0,52.0,2016.0,proj_10_1
1,45.0,2018.0,proj_10_1
2,50.0,2019.0,proj_10_1
3,64.0,2020.0,proj_10_1
4,334.0,2021.0,proj_10_1
0,24.0,2016.0,proj_10_2
1,23.0,2017.0,proj_10_2
2,26.0,2018.0,proj_10_2
3,27.0,2019.0,proj_10_2
4,1059.0,2020.0,proj_10_2
5,378.0,2021.0,proj_10_2
0,4253.0,2017.0,proj_10_3
1,9.0,2019.0,proj_10_3
2,27.0,2020.0,proj_10_3
3,117.0,2021.0,proj_10_3
0,4.0,2016.0,proj_13_10
1,4.0,2017.0,proj_13_10
2,4.0,2019.0,proj_13_10
3,671.0,2020.0,proj_13_10
4,128.0,2021.0,proj_13_10
0,6.0,2016.0,proj_16_3
1,6.0,2017.0,proj_16_3
2,15.0,2018.0,proj_16_3
3,14.0,2019.0,proj_16_3
4,20.0,2020.0,proj_16_3
5,83.0,2021.0,proj_16_3
