,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
9091,-14.9809243,34.94943593,99.4342,0.7327,"POLYGON((34.9494449533369 -14.9809778523809, 34.94944087533 -14.980958652935, 34.9494769616869 -14.9809514100282, 34.9494728226987 -14.9809319234905, 34.9494950286362 -14.9809274665255, 34.9494833251783 -14.9808723661348, 34.9493816424333 -14.9808927749079, 34.9494015628529 -14.9809865612942, 34.9494449533369 -14.9809778523809))",5GQP2W9X+JQM5
9658,-14.98406574,34.96425989,52.9141,0.7361,"POLYGON((34.964303074854 -14.9840787764749, 34.964271960565 -14.9840651654789, 34.964287301722 -14.9840320275224, 34.9642476492249 -14.984014681464, 34.9642168030793 -14.9840813112269, 34.9642875698808 -14.984112268287, 34.964303074854 -14.9840787764749))",5GQP2X87+9PC7
10320,-14.98099313,34.95915456,43.909,0.6084,"POLYGON((34.959174877885 -14.9810307375753, 34.9591899756092 -14.9809682279767, 34.9591342378763 -14.9809555068779, 34.9591191401361 -14.9810180164744, 34.959174877885 -14.9810307375753))",5GQP2X95+JM29
10473,-14.98289251,34.94954585,178.6509,0.8117,"POLYGON((34.9496443812734 -14.9828761404679, 34.9494931630156 -14.9828242368231, 34.9494527003762 -14.9828862135596, 34.9494887058056 -14.9829084259881, 34.9494783149289 -14.9829243417211, 34.9495121155627 -14.9829451939598, 34.9495225064378 -14.9829292782257, 34.9495846571745 -14.9829676201441, 34.9496443812734 -14.9828761404679))",5GQP2W8X+RRV7
10581,-14.98065921,34.95923145,38.9851,0.732,"POLYGON((34.959276883375 -14.9806477945057, 34.959193083088 -14.9806329319474, 34.9591860082919 -14.9806706263699, 34.9592698085935 -14.9806854889302, 34.959276883375 -14.9806477945057))",5GQP2X95+PMQM
10766,-14.98177613,34.96402062,17.2562,0.7547,"POLYGON((34.9640447850315 -14.9817888487328, 34.9640292174513 -14.9817507533961, 34.9639964617001 -14.9817634020363, 34.9640120292758 -14.9818014973756, 34.9640447850315 -14.9817888487328))",5GQP2X97+7JJW
11120,-14.9831512,34.95583866,48.6101,0.8167,"POLYGON((34.9558688513071 -14.9831152508502, 34.9558166296442 -14.9831100349512, 34.9558084780363 -14.983187154739, 34.9558606997182 -14.9831923706376, 34.9558688513071 -14.9831152508502))",5GQP2X84+P8PX
12572,-14.98275952,34.9608925,36.2035,0.8074,"POLYGON((34.9609270433993 -14.9827408868293, 34.9608722287193 -14.9827265717006, 34.9608579748281 -14.9827781465438, 34.9609127895211 -14.9827924616746, 34.9609270433993 -14.9827408868293))",5GQP2X86+V9RP
13420,-14.97983821,34.95883632,81.9361,0.8154,"POLYGON((34.9588612131339 -14.9798939902116, 34.9588772975219 -14.9797922657626, 34.9588114176349 -14.9797824223065, 34.9587953332146 -14.9798841467545, 34.9588612131339 -14.9798939902116))",5GQP2XC5+3G8H
13487,-14.98584667,34.95318745,134.1835,0.8371,"POLYGON((34.9532475255593 -14.985897146701, 34.9532590695252 -14.9858133454582, 34.9531273692721 -14.9857962026249, 34.9531158252542 -14.9858800038662, 34.9532475255593 -14.985897146701))",5GQP2X73+M775
14436,-14.98354487,34.96005264,22.8497,0.6362,"POLYGON((34.960085151551 -14.983552365977, 34.9600747954293 -14.9835205581535, 34.9600201265966 -14.9835373772488, 34.9600304827118 -14.9835691850755, 34.960085151551 -14.983552365977))",5GQP2X86+H2M8
14930,-14.98096047,34.94962228,86.7336,0.7376,"POLYGON((34.9496667956938 -14.9809575525322, 34.949634786432 -14.9809619339947, 34.9496235554478 -14.980884401237, 34.9495819361697 -14.9808900981204, 34.949600827247 -14.9810205122305, 34.9496744558191 -14.9810104338762, 34.9496667956938 -14.9809575525322))",5GQP2W9X+JR9H
15197,-14.97630814,34.9505471,25.9625,0.7486,"POLYGON((34.950574067345 -14.976288565335, 34.9505315090991 -14.9762791585004, 34.9505201501359 -14.97632772181, 34.9505627083914 -14.9763371286456, 34.950574067345 -14.976288565335))",5GQP2XF2+F6FP
16861,-14.98008614,34.96403101,112.574,0.7895,"POLYGON((34.9639926815848 -14.9801496899058, 34.9640107813497 -14.9801012428083, 34.964085685898 -14.9801276867971, 34.9641085168048 -14.980066575907, 34.9639993902394 -14.9800280503066, 34.9639584595308 -14.9801376082846, 34.9639926815848 -14.9801496899058))",5GQP2X97+XJ6H
18966,-14.98018197,34.96479571,87.3674,0.7658,"POLYGON((34.9648564536355 -14.9801680586978, 34.964797623977 -14.9801213275841, 34.9647349530363 -14.9801958814082, 34.9647937827057 -14.9802426125369, 34.9648564536355 -14.9801680586978))",5GQP2X97+WWFM
19202,-14.9809698,34.960967,49.6226,0.8224,"POLYGON((34.9609826569452 -14.9810156815846, 34.9609999227474 -14.9809335673146, 34.9609513567974 -14.980923917684, 34.9609340909766 -14.9810060319524, 34.9609826569452 -14.9810156815846))",5GQP2X96+J989
20308,-14.9747437,34.96048534,76.8512,0.726,"POLYGON((34.9605099307726 -14.9747557205936, 34.9605276156816 -14.9747641250144, 34.9605458918986 -14.9747277823006, 34.9604692721497 -14.9746913701891, 34.9604304450815 -14.9747685787113, 34.9604893799424 -14.9747965864113, 34.9605099307726 -14.9747557205936))",5GQP2XG6+4558
22260,-14.9790648,34.95392285,10.7956,0.6228,"POLYGON((34.9539425813756 -14.9790734592578, 34.9539341024778 -14.9790468223794, 34.9539031357751 -14.9790561370855, 34.9539116146697 -14.9790827739654, 34.9539425813756 -14.9790734592578))",5GQP2XC3+9HFG
25757,-14.97773482,34.95195686,32.9989,0.683,"POLYGON((34.951973666867 -14.9777814740373, 34.9519691878452 -14.9776868517597, 34.9519400520501 -14.9776881550447, 34.9519445310593 -14.9777827773246, 34.951973666867 -14.9777814740373))",5GQP2XC2+WQ4P
