...1,B2,B3,B4,row,geometry,index_right,...8,latitude,longitude,area_in_meters,confidence,full_plus_code,building
870,1144,1032,1522,871,POINT (35.32369525349368 -15.381776429882276),702,3859880,-15.38175799,35.32370128,31.3986,0.7552,5GPQJ89F+7FWM,1
872,1107,971,996,873,POINT (35.323881467706386 -15.38177448517518),193,1090646,-15.38177289,35.32390471,26.9152,0.6814,5GPQJ89F+7HR5,1
882,1095,953,929,883,POINT (35.32481253837335 -15.381764759306996),1289,7084590,-15.38177384,35.32483653,127.8718,0.7764,5GPQJ89F+7WW5,1
888,1086,897,814,889,POINT (35.32537118045625 -15.38175892191993),121,654869,-15.38175659,35.32533703,25.9227,0.6057,5GPQJ89G+74WQ,1
906,1118,1091,1101,907,POINT (35.32704710527649 -15.381741401361063),1174,6494731,-15.38171585,35.32707247,49.4666,0.8275,5GPQJ89G+8R87,1
921,1431,1470,1653,922,POINT (35.309823216655225 -15.382011208530423),271,1468494,-15.38201984,35.30979822,112.1139,0.8273,5GPQJ895+5WV8,1
922,1385,1434,1688,923,POINT (35.30991632478652 -15.382010241983384),776,4230313,-15.38202903,35.3099338,50.9869,0.8472,5GPQJ895+5XMX,1
948,1086,1002,1110,949,POINT (35.312337133894246 -15.381985098113248),661,3638390,-15.38201254,35.31232348,87.4659,0.7698,5GPQJ896+5WWF,1
960,1270,1158,1139,961,POINT (35.31345442890664 -15.381973484385425),1657,8954201,-15.38196128,35.3134355,109.1273,0.8074,5GPQJ897+697H,1
961,1241,1074,1054,962,POINT (35.313547536781584 -15.381972516322056),109,581791,-15.38193605,35.31350509,106.2047,0.83,5GPQJ897+6CCC,1
997,1179,1146,1012,998,POINT (35.316899415896295 -15.381937640146708),391,2120472,-15.38191906,35.31690453,79.723,0.7172,5GPQJ898+6QJ9,1
1004,1370,1345,1342,1005,POINT (35.31755116917747 -15.381930852816785),428,2289968,-15.38191884,35.31753974,44.1724,0.8006,5GPQJ899+62M7,1
1074,1114,1034,1196,1075,POINT (35.324068684214446 -15.381862874738186),484,2607777,-15.38186099,35.32410875,91.7885,0.7232,5GPQJ89F+7J5F,1
1075,1240,1180,1470,1076,POINT (35.32416179133773 -15.381861902242576),484,2607777,-15.38186099,35.32410875,91.7885,0.7232,5GPQJ89F+7J5F,1
1092,1113,1057,1056,1093,POINT (35.32574461142227 -15.381845363868845),71,344948,-15.38184693,35.32578931,198.4716,0.6613,5GPQJ89G+7873,1
