,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
527003,-15.42293096,35.42734285,41.6148,0.765,"POLYGON((35.4273803976692 -15.4229091420163, 35.4273088454332 -15.422904223366, 35.4273052984259 -15.4229527751833, 35.4273768506788 -15.4229576938324, 35.4273803976692 -15.4229091420163))",5GPQHCGG+RWGQ
541770,-15.42738547,35.42423061,32.8469,0.8109,"POLYGON((35.4242604180543 -15.4273621845734, 35.4242145717075 -15.4273517702809, 35.4242008140233 -15.4274087563031, 35.4242466603829 -15.4274191705967, 35.4242604180543 -15.4273621845734))",5GPQHCFF+2MXF
549054,-15.43264299,35.42716881,30.3087,0.6937,"POLYGON((35.4271973958488 -15.4326647321594, 35.4271943826784 -15.4326179542055, 35.4271402311051 -15.4326212360538, 35.4271432442637 -15.4326680140102, 35.4271973958488 -15.4326647321594))",5GPQHC8G+WVV7
560341,-15.42757986,35.42452686,34.7862,0.783,"POLYGON((35.4245530495685 -15.4276079963247, 35.4245509330174 -15.4275499844554, 35.4245006857596 -15.427551709379, 35.4245028022965 -15.4276097212509, 35.4245530495685 -15.4276079963247))",5GPQHCCF+XR6X
560585,-15.42456009,35.42660664,21.9489,0.6112,"POLYGON((35.4266286439737 -15.424581101651, 35.4266261628946 -15.4245369018793, 35.4265846227925 -15.4245390959339, 35.426587103863 -15.4245832957073, 35.4266286439737 -15.424581101651))",5GPQHCGG+5JHF
562298,-15.43100656,35.42405479,37.9421,0.7727,"POLYGON((35.4240810527676 -15.4310373445346, 35.4240787671343 -15.4309740606868, 35.4240285248295 -15.4309757680047, 35.4240308104478 -15.4310390518552, 35.4240810527676 -15.4310373445346))",5GPQHC9F+HJVQ
572085,-15.42819283,35.41119781,15.8965,0.6671,"POLYGON((35.4112152159043 -15.4282118563802, 35.4112179351869 -15.4281765111902, 35.4111804096482 -15.4281737947739, 35.4111776903592 -15.4282091399641, 35.4112152159043 -15.4282118563802))",5GPQHCC6+PFG7
591848,-15.43129452,35.42495543,8.3564,0.641,"POLYGON((35.4249695095986 -15.4313069122513, 35.4249679521837 -15.4312806443778, 35.4249413489913 -15.4312821284132, 35.4249429064027 -15.4313083962873, 35.4249695095986 -15.4313069122513))",5GPQHC9F+FXP8
594923,-15.42592109,35.41114047,28.29,0.6375,"POLYGON((35.4111657275945 -15.4259448440567, 35.4111685211131 -15.4259004869379, 35.4111152104449 -15.4258973278787, 35.4111124169148 -15.4259416849985, 35.4111657275945 -15.4259448440567))",5GPQHCF6+JFJ3
603535,-15.43813907,35.42116945,69.473,0.7845,"POLYGON((35.4212121732317 -15.4381057603429, 35.4211356142973 -15.4380972281564, 35.4211267125491 -15.4381723753748, 35.4212032715117 -15.4381809075605, 35.4212121732317 -15.4381057603429))",5GPQHC6C+PFVF
635800,-15.43886043,35.42261549,45.263,0.7789,"POLYGON((35.4226530390622 -15.4388365341183, 35.4225825248311 -15.4388308437053, 35.422577936777 -15.4388843321952, 35.4226484510265 -15.438890022607, 35.4226530390622 -15.4388365341183))",5GPQHC6F+F25G
668991,-15.42362076,35.42675851,38.3662,0.7505,"POLYGON((35.4267916431399 -15.423643836386, 35.426779913472 -15.4235870794591, 35.4267253909636 -15.4235976819157, 35.4267371206181 -15.4236544388475, 35.4267916431399 -15.423643836386))",5GPQHCGG+HP23
669072,-15.4232194,35.42602682,21.6384,0.7496,"POLYGON((35.4260536785264 -15.4232038862683, 35.4260192279675 -15.42318998825, 35.4259999663425 -15.4232349146994, 35.4260344169085 -15.4232488127198, 35.4260536785264 -15.4232038862683))",5GPQHCGG+PC69
678873,-15.42847825,35.42553649,24.2173,0.8001,"POLYGON((35.4255609630721 -15.4284988045588, 35.4255581516475 -15.4284549297028, 35.42551201956 -15.4284577110587, 35.4255148309751 -15.4285015859167, 35.4255609630721 -15.4284988045588))",5GPQHCCG+J63R
680210,-15.43306941,35.42545276,204.8097,0.8591,"POLYGON((35.4255320984156 -15.4330195255861, 35.4253911121844 -15.4329998736348, 35.4253734200547 -15.4331192928976, 35.4255144063685 -15.4331389448485, 35.4255320984156 -15.4330195255861))",5GPQHC8G+Q5G7
693652,-15.42853676,35.42537161,5.8584,0.7164,"POLYGON((35.4253837241077 -15.4285467772239, 35.4253818295493 -15.4285249335243, 35.42535948551 -15.4285267569434, 35.4253613800661 -15.4285486006435, 35.4253837241077 -15.4285467772239))",5GPQHCCG+H4QH
699395,-15.4321382,35.42572082,53.6652,0.8039,"POLYGON((35.4257633468968 -15.43216131369, 35.4257531897809 -15.4321028512366, 35.4256782987952 -15.4321150931837, 35.4256884558917 -15.4321735556435, 35.4257633468968 -15.43216131369))",5GPQHC9G+47XC
721402,-15.42524034,35.40992676,45.4051,0.8337,"POLYGON((35.4099584925171 -15.4252080738685, 35.4099075668194 -15.4251998244601, 35.4098950379329 -15.4252725997112, 35.4099459636487 -15.4252808491198, 35.4099584925171 -15.4252080738685))",5GPQHCF5+WX38
722047,-15.42508146,35.41088693,24.588,0.7373,"POLYGON((35.4109125411372 -15.425101512739, 35.4109120718666 -15.4250608649674, 35.4108613268461 -15.4250614161975, 35.4108617961069 -15.4251020639706, 35.4109125411372 -15.425101512739))",5GPQHCF6+X96M
750476,-15.4271352,35.4247057,34.1223,0.8136,"POLYGON((35.42472754127 -15.4271659498597, 35.4247352604897 -15.4271112875508, 35.4246838511492 -15.4271044566626, 35.4246761319158 -15.4271591189715, 35.42472754127 -15.4271659498597))",5GPQHCFF+4VWG
760348,-15.42330088,35.4260377,23.7161,0.7386,"POLYGON((35.4260678621582 -15.4232902595072, 35.4260241991273 -15.4232726450126, 35.4260075422537 -15.4233114960484, 35.4260512052921 -15.4233291105449, 35.4260678621582 -15.4232902595072))",5GPQHCGG+MCFR
767963,-15.4320845,35.42584917,6.8312,0.6474,"POLYGON((35.4258650060151 -15.4320910305404, 35.4258567103496 -15.4320695096343, 35.4258333444072 -15.4320779839026, 35.425841640071 -15.4320995048099, 35.4258650060151 -15.4320910305404))",5GPQHC9G+589J
775806,-15.42843666,35.42560042,35.6004,0.8317,"POLYGON((35.4256272074883 -15.4284645122416, 35.4256305868588 -15.4284122754384, 35.4255736308665 -15.4284088085213, 35.4255702514811 -15.4284610453257, 35.4256272074883 -15.4284645122416))",5GPQHCCG+J6HC
779190,-15.43267249,35.42506756,43.5409,0.8191,"POLYGON((35.4251086421798 -15.4326860902879, 35.4250803512432 -15.4326322551703, 35.4250264874398 -15.4326588872056, 35.4250547783682 -15.4327127223313, 35.4251086421798 -15.4326860902879))",5GPQHC8G+W2P2
